"latitude","longitude","genus","species","dbh","year_min","year_max","crown","height","common","location","ref","maintenance","maturity","planted","updated","health","structure","description","family","address","significance","age"
"-37.791492492"," 144.98456516","Eucalyptus","E. globulus",107,NA,NA,NA,18,"Blue Gum","park",55,NA,"Mature",NA,"2012-08-29",NA,NA,NA,NA,"0 GEORGE STREET, FITZROY, 3065","Outstanding Size, Location of Landscape Context","81-100 years"
"-37.787365706"," 145.01084958","Eucalyptus","E. cladocalyx",133,NA,NA,NA,27,"Sugar Gum","other",56,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Outstanding Size, Location of Landscape Context, Significant Habitat Value","61-80 years"
"-37.787365706"," 145.01084958","Cedrus","C. deodara",122,NA,NA,NA,21,"Deodar Cedar","other",57,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Aesthetic Value, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.787381766"," 145.01063535","Cedrus","C. deodara",111,NA,NA,NA,17,"Deodar Cedar","other",58,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Aesthetic Value, Outstanding Size, Location of Landscape Context","81-100 years"
"-37.787381766"," 145.01063535","Ficus","F. palmata",93,NA,NA,NA,13,"Punjab Fig","other",59,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"101 YARRA BEND ROAD, FAIRFIELD, 3078","Rare or Localised","81-100 years"
"-37.784613282"," 145.01227122","Araucaria","A. bidwillii",76,NA,NA,NA,21,"Bunya Pine","park",60,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"280 HEIDELBERG ROAD, FAIRFIELD, 3078","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.784634876"," 145.01213637","Araucaria","A. bidwillii",72,NA,NA,NA,22,"Bunya Pine","park",61,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"280 HEIDELBERG ROAD, FAIRFIELD, 3078","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.784610016"," 145.01373482","Eucalyptus","E. camaldulensis",126,NA,NA,NA,20,"River Red Gum","park",63,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"0 PARKVIEW ROAD, ALPHINGTON, 3078","Particularly Old, Significant Habitat Value, Remnant, Outstanding Size, Location of Landscape Context","100+ years"
"-37.789142165"," 145.03992944","Quercus","Q. robur",182,NA,NA,NA,20,"English Oak","other",64,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"0 FARM ROAD, ALPHINGTON, 3078","Outstanding Example of the Species, Outstanding Size, Particularly Old, Historic Value","100+ years"
"-37.787024902"," 145.03332965","Eucalyptus","E. camaldulensis",174,NA,NA,NA,30,"River Red Gum","other",65,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"0 FARM ROAD, ALPHINGTON, 3078","Significant Habitat Value, Remnant, Outstanding Size, Particularly Old","100+ years"
"-37.807216187"," 144.98109311","Eucalyptus","E. nicholii",74,NA,NA,NA,19,"Narrow-leaved Black Peppermint","residential",66,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"43 GORE STREET, FITZROY, 3065","Location of Landscape Context, Environmental Value","41-60 years"
"-37.790690296"," 144.97254962","Corymbia","C. citriodora",59,NA,NA,NA,16,"Lemon-scented Gum","residential",67,NA,"Mature",NA,"2012-09-12",NA,NA,NA,NA,"96 CHARLES STREET, FITZROY, 3065","Location of Landscape Context","41-60 years"
"-37.803725228"," 144.99409956","Platanus","P. x acerifolia",69,NA,NA,NA,18,"London Plane","park",68,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"0 VERE STREET, ABBOTSFORD, 3067","Aesthetic Value, Location of Landscape Context, Environmental Value","61-80 years"
"-37.804227678"," 144.99466747","Phoenix","P. canariensis",80,NA,NA,NA,17,"Canary Island Date Palm","park",69,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"0 VERE STREET, ABBOTSFORD, 3067","Particularly Old, Outstanding Size, Aesthetic Value, Location of Landscape Context","81-100 years"
"-37.802782464"," 144.99440667","Platanus","P. x acerifolia",84,NA,NA,NA,22,"London Plane","park",70,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"0 VERE STREET, ABBOTSFORD, 3067","Aesthetic Value, Location of Landscape Context, Environmental Value","61-80 years"
"-37.802782464"," 144.99440667","Platanus","P. x acerifolia",83,NA,NA,NA,17,"London Plane","park",71,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"0 VERE STREET, ABBOTSFORD, 3067","Aesthetic Value, Location of Landscape Context","61-80 years"
"-37.802198427"," 145.00372504","Quercus","Q. robur",143,NA,NA,NA,16,"English Oak","other",72,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Example of the Species, Outstanding Size, Particularly Old","100+ years"
"-37.803644775"," 145.00299594","Quercus","Q. suber",102,NA,NA,NA,14,"Cork Oak","other",73,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Outstanding Size, Rare or Localised","61-80 years"
"-37.803602553"," 145.00292521","Quercus","Q. suber",74,NA,NA,NA,6,"Cork Oak","other",74,NA,"Mature",NA,"2012-09-17",NA,NA,NA,NA,"3 ST HELIERS STREET, ABBOTSFORD, 3067","Rare or Localised, Outstanding Size, Curious Growth Form","61-80 years"
